Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2019"",""2019"",""100 g/ha"",""11576"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2020"",""2020"",""100 g/ha"",""11629"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2021"",""2021"",""100 g/ha"",""11686"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2010"",""2010"",""toneladas"",""3164.9"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2011"",""2011"",""toneladas"",""3152.06"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2012"",""2012"",""toneladas"",""3000"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2013"",""2013"",""toneladas"",""3167.29"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2014"",""2014"",""toneladas"",""3191.85"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2015"",""2015"",""toneladas"",""3171.41"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2016"",""2016"",""toneladas"",""3174.18"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2017"",""2017"",""toneladas"",""3180.98"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2018"",""2018"",""toneladas"",""3186.91"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2019"",""2019"",""toneladas"",""3181.82"",""I"",""Valor imputado"""
